
Output from Plumeria 2, fortran version, run date 2022.02.06   0:20

Input values:
        Tropopause elevation above vent (km):    11.0
                   Height of tropopause (km):     9.0
                   Thermal lapse rate (C/km):   -6.50
                       Relative humidity, % :     0.0
                 Air temperature at vent (C):    15.0
          Air pressure  at vent, atmospheres:   1.000
               wind speed at sea level (m/s):   0.000
   change in wind speed with elevation (1/s):   0.000
                wind direction (deg. E of N):    90.0
                           Vent diameter (m):     1.0
                          Vent elevation (m):     0.0
                      Initial velocity (m/s):   200.0
                       Magma temperature (C):    900.
                         Weight fraction gas:   0.030
                         Weight fraction air:   0.001
               Magma specific heat, (J/kg K):  1000.0
                      Magma density, (kg/m3):  2500.0
                     Mixture density (kg/m3):   6.103
                   Mass fraction water added:   0.000
                           Mass flux, (kg/s):  0.959E+03
                 Mass flux of solids, (kg/s):  0.930E+03
                   Mixture sound speed (m/s):   144.0
**********************************************************************************************************************************************************************************************
   i        s        z        x        y       m_m       m_a       m_w       m_l       m_i      v       u          r   T_mix   T_air   rho_mix   rho_air    Time     p_air     water       ice
       meters   meters   meters   meters                                                      m/s     m/s          m  Kelvin  Kelvin     kg/m3     kg/m3 seconds        Pa      g/m3      g/m3
  41      2.5      2.5      0.0      0.0 0.690E+00 0.289E+00 0.213E-01 0.000E+00 0.000E+00    0.00   142.37       1.6   919.6   288.1     1.188     1.225     0.0  101269.9 0.000E+00 0.000E+00
  42      2.6      2.6      0.0      0.0 0.683E+00 0.296E+00 0.211E-01 0.000E+00 0.000E+00    0.00   140.95       1.6   913.5   288.1     1.171     1.225     0.0  101268.8 0.000E+00 0.000E+00
  43      2.7      2.7      0.0      0.0 0.676E+00 0.303E+00 0.209E-01 0.000E+00 0.000E+00    0.00   139.52       1.6   907.3   288.1     1.155     1.225     0.0  101267.8 0.000E+00 0.000E+00
  44      2.8      2.8      0.0      0.0 0.669E+00 0.310E+00 0.207E-01 0.000E+00 0.000E+00    0.00   138.10       1.7   901.1   288.1     1.140     1.225     0.0  101266.7 0.000E+00 0.000E+00
  45      2.9      2.9      0.0      0.0 0.662E+00 0.317E+00 0.205E-01 0.000E+00 0.000E+00    0.00   136.67       1.7   894.9   288.1     1.126     1.225     0.0  101265.6 0.000E+00 0.000E+00
  46      3.0      3.0      0.0      0.0 0.655E+00 0.324E+00 0.203E-01 0.000E+00 0.000E+00    0.00   135.24       1.7   888.7   288.1     1.112     1.225     0.0  101264.5 0.000E+00 0.000E+00
  47      3.0      3.0      0.0      0.0 0.648E+00 0.331E+00 0.201E-01 0.000E+00 0.000E+00    0.00   133.81       1.8   882.5   288.1     1.099     1.225     0.0  101263.4 0.000E+00 0.000E+00
  48      3.1      3.1      0.0      0.0 0.642E+00 0.339E+00 0.198E-01 0.000E+00 0.000E+00    0.00   132.39       1.8   876.3   288.1     1.086     1.225     0.0  101262.3 0.000E+00 0.000E+00
  49      3.2      3.2      0.0      0.0 0.635E+00 0.346E+00 0.196E-01 0.000E+00 0.000E+00    0.00   130.96       1.8   870.2   288.1     1.074     1.225     0.0  101261.1 0.000E+00 0.000E+00
  50      3.3      3.3      0.0      0.0 0.628E+00 0.353E+00 0.194E-01 0.000E+00 0.000E+00    0.00   129.54       1.8   864.0   288.1     1.063     1.225     0.0  101260.0 0.000E+00 0.000E+00
  51      3.4      3.4      0.0      0.0 0.621E+00 0.360E+00 0.192E-01 0.000E+00 0.000E+00    0.00   128.11       1.9   857.8   288.1     1.052     1.225     0.0  101258.8 0.000E+00 0.000E+00
  52      3.5      3.5      0.0      0.0 0.614E+00 0.367E+00 0.190E-01 0.000E+00 0.000E+00    0.00   126.69       1.9   851.7   288.1     1.042     1.225     0.0  101257.6 0.000E+00 0.000E+00
  53      3.6      3.6      0.0      0.0 0.607E+00 0.374E+00 0.188E-01 0.000E+00 0.000E+00    0.00   125.28       1.9   845.6   288.1     1.032     1.225     0.0  101256.3 0.000E+00 0.000E+00
  54      3.7      3.7      0.0      0.0 0.600E+00 0.381E+00 0.186E-01 0.000E+00 0.000E+00    0.00   123.86       2.0   839.4   288.1     1.022     1.225     0.0  101255.1 0.000E+00 0.000E+00
  55      3.8      3.8      0.0      0.0 0.593E+00 0.388E+00 0.184E-01 0.000E+00 0.000E+00    0.00   122.45       2.0   833.3   288.1     1.013     1.225     0.0  101253.8 0.000E+00 0.000E+00
  56      3.9      3.9      0.0      0.0 0.586E+00 0.395E+00 0.181E-01 0.000E+00 0.000E+00    0.00   121.03       2.0   827.2   288.1     1.004     1.225     0.0  101252.5 0.000E+00 0.000E+00
  57      4.1      4.1      0.0      0.0 0.580E+00 0.402E+00 0.179E-01 0.000E+00 0.000E+00    0.00   119.63       2.1   821.1   288.1     0.996     1.225     0.0  101251.2 0.000E+00 0.000E+00
  58      4.2      4.2      0.0      0.0 0.573E+00 0.409E+00 0.177E-01 0.000E+00 0.000E+00    0.00   118.22       2.1   815.0   288.1     0.988     1.225     0.0  101249.9 0.000E+00 0.000E+00
  59      4.3      4.3      0.0      0.0 0.566E+00 0.416E+00 0.175E-01 0.000E+00 0.000E+00    0.00   116.82       2.1   808.9   288.1     0.981     1.225     0.0  101248.5 0.000E+00 0.000E+00
  60      4.4      4.4      0.0      0.0 0.559E+00 0.423E+00 0.173E-01 0.000E+00 0.000E+00    0.00   115.41       2.2   802.8   288.1     0.974     1.224     0.0  101247.2 0.000E+00 0.000E+00
  61      4.5      4.5      0.0      0.0 0.552E+00 0.430E+00 0.171E-01 0.000E+00 0.000E+00    0.00   114.02       2.2   796.8   288.1     0.967     1.224     0.0  101245.7 0.000E+00 0.000E+00
  62      4.6      4.6      0.0      0.0 0.546E+00 0.437E+00 0.169E-01 0.000E+00 0.000E+00    0.00   112.62       2.2   790.7   288.1     0.960     1.224     0.0  101244.3 0.000E+00 0.000E+00
  63      4.8      4.8      0.0      0.0 0.539E+00 0.444E+00 0.167E-01 0.000E+00 0.000E+00    0.00   111.23       2.3   784.7   288.1     0.954     1.224     0.0  101242.8 0.000E+00 0.000E+00
  64      4.9      4.9      0.0      0.0 0.532E+00 0.451E+00 0.165E-01 0.000E+00 0.000E+00    0.00   109.84       2.3   778.7   288.1     0.948     1.224     0.0  101241.3 0.000E+00 0.000E+00
  65      5.0      5.0      0.0      0.0 0.525E+00 0.458E+00 0.162E-01 0.000E+00 0.000E+00    0.00   108.45       2.3   772.6   288.1     0.942     1.224     0.0  101239.8 0.000E+00 0.000E+00
  66      5.1      5.1      0.0      0.0 0.519E+00 0.465E+00 0.160E-01 0.000E+00 0.000E+00    0.00   107.06       2.4   766.6   288.1     0.937     1.224     0.0  101238.2 0.000E+00 0.000E+00
  67      5.3      5.3      0.0      0.0 0.512E+00 0.472E+00 0.158E-01 0.000E+00 0.000E+00    0.00   105.68       2.4   760.6   288.1     0.932     1.224     0.0  101236.6 0.000E+00 0.000E+00
  68      5.4      5.4      0.0      0.0 0.505E+00 0.479E+00 0.156E-01 0.000E+00 0.000E+00    0.00   104.30       2.5   754.6   288.1     0.927     1.224     0.0  101235.0 0.000E+00 0.000E+00
  69      5.5      5.5      0.0      0.0 0.499E+00 0.486E+00 0.154E-01 0.000E+00 0.000E+00    0.00   102.92       2.5   748.6   288.1     0.922     1.224     0.0  101233.4 0.000E+00 0.000E+00
  70      5.7      5.7      0.0      0.0 0.492E+00 0.493E+00 0.152E-01 0.000E+00 0.000E+00    0.00   101.55       2.5   742.7   288.1     0.918     1.224     0.0  101231.6 0.000E+00 0.000E+00
  71      5.8      5.8      0.0      0.0 0.485E+00 0.500E+00 0.150E-01 0.000E+00 0.000E+00    0.00   100.17       2.6   736.7   288.1     0.914     1.224     0.0  101229.9 0.000E+00 0.000E+00
  72      6.0      6.0      0.0      0.0 0.479E+00 0.507E+00 0.148E-01 0.000E+00 0.000E+00    0.00    98.81       2.6   730.7   288.1     0.910     1.224     0.0  101228.1 0.000E+00 0.000E+00
  73      6.1      6.1      0.0      0.0 0.472E+00 0.514E+00 0.146E-01 0.000E+00 0.000E+00    0.00    97.44       2.7   724.8   288.1     0.906     1.224     0.0  101226.3 0.000E+00 0.000E+00
  74      6.3      6.3      0.0      0.0 0.465E+00 0.520E+00 0.144E-01 0.000E+00 0.000E+00    0.00    96.08       2.7   718.8   288.1     0.903     1.224     0.0  101224.4 0.000E+00 0.000E+00
  75      6.5      6.5      0.0      0.0 0.459E+00 0.527E+00 0.142E-01 0.000E+00 0.000E+00    0.00    94.72       2.8   712.9   288.1     0.899     1.224     0.0  101222.5 0.000E+00 0.000E+00
  76      6.6      6.6      0.0      0.0 0.452E+00 0.534E+00 0.140E-01 0.000E+00 0.000E+00    0.00    93.36       2.8   707.0   288.1     0.896     1.224     0.1  101220.5 0.000E+00 0.000E+00
  77      6.8      6.8      0.0      0.0 0.445E+00 0.541E+00 0.138E-01 0.000E+00 0.000E+00    0.00    92.00       2.8   701.0   288.1     0.894     1.224     0.1  101218.5 0.000E+00 0.000E+00
  78      7.0      7.0      0.0      0.0 0.439E+00 0.548E+00 0.136E-01 0.000E+00 0.000E+00    0.00    90.65       2.9   695.1   288.1     0.891     1.224     0.1  101216.4 0.000E+00 0.000E+00
  79      7.1      7.1      0.0      0.0 0.432E+00 0.554E+00 0.134E-01 0.000E+00 0.000E+00    0.00    89.31       2.9   689.2   288.1     0.889     1.224     0.1  101214.3 0.000E+00 0.000E+00
  80      7.3      7.3      0.0      0.0 0.426E+00 0.561E+00 0.132E-01 0.000E+00 0.000E+00    0.00    87.96       3.0   683.3   288.1     0.886     1.224     0.1  101212.1 0.000E+00 0.000E+00
  81      7.5      7.5      0.0      0.0 0.419E+00 0.568E+00 0.130E-01 0.000E+00 0.000E+00    0.00    86.62       3.0   677.5   288.1     0.884     1.224     0.1  101209.9 0.000E+00 0.000E+00
  82      7.7      7.7      0.0      0.0 0.413E+00 0.575E+00 0.128E-01 0.000E+00 0.000E+00    0.00    85.28       3.1   671.6   288.1     0.882     1.224     0.1  101207.6 0.000E+00 0.000E+00
  83      7.9      7.9      0.0      0.0 0.406E+00 0.581E+00 0.126E-01 0.000E+00 0.000E+00    0.00    83.94       3.1   665.7   288.1     0.881     1.224     0.1  101205.2 0.000E+00 0.000E+00
  84      8.1      8.1      0.0      0.0 0.400E+00 0.588E+00 0.124E-01 0.000E+00 0.000E+00    0.00    82.61       3.2   659.9   288.1     0.879     1.224     0.1  101202.8 0.000E+00 0.000E+00
  85      8.3      8.3      0.0      0.0 0.393E+00 0.595E+00 0.122E-01 0.000E+00 0.000E+00    0.00    81.28       3.2   654.0   288.1     0.878     1.224     0.1  101200.2 0.000E+00 0.000E+00
  86      8.5      8.5      0.0      0.0 0.387E+00 0.601E+00 0.120E-01 0.000E+00 0.000E+00    0.00    79.96       3.3   648.2   288.1     0.877     1.224     0.1  101197.6 0.000E+00 0.000E+00
  87      8.7      8.7      0.0      0.0 0.380E+00 0.608E+00 0.118E-01 0.000E+00 0.000E+00    0.00    78.64       3.4   642.3   288.1     0.876     1.224     0.1  101195.0 0.000E+00 0.000E+00
  88      9.0      9.0      0.0      0.0 0.374E+00 0.615E+00 0.116E-01 0.000E+00 0.000E+00    0.00    77.32       3.4   636.5   288.1     0.875     1.224     0.1  101192.2 0.000E+00 0.000E+00
  89      9.2      9.2      0.0      0.0 0.368E+00 0.621E+00 0.114E-01 0.000E+00 0.000E+00    0.00    76.01       3.5   630.7   288.1     0.874     1.224     0.1  101189.4 0.000E+00 0.000E+00
  90      9.5      9.5      0.0      0.0 0.361E+00 0.628E+00 0.112E-01 0.000E+00 0.000E+00    0.00    74.70       3.5   624.9   288.1     0.874     1.224     0.1  101186.4 0.000E+00 0.000E+00
  91      9.7      9.7      0.0      0.0 0.355E+00 0.634E+00 0.110E-01 0.000E+00 0.000E+00    0.00    73.39       3.6   619.1   288.1     0.873     1.224     0.1  101183.4 0.000E+00 0.000E+00
  92     10.0     10.0      0.0      0.0 0.348E+00 0.641E+00 0.108E-01 0.000E+00 0.000E+00    0.00    72.09       3.7   613.4   288.1     0.873     1.224     0.1  101180.3 0.000E+00 0.000E+00
  93     10.2     10.2      0.0      0.0 0.342E+00 0.647E+00 0.106E-01 0.000E+00 0.000E+00    0.00    70.79       3.7   607.6   288.1     0.873     1.224     0.1  101177.0 0.000E+00 0.000E+00
  94     10.5     10.5      0.0      0.0 0.336E+00 0.654E+00 0.104E-01 0.000E+00 0.000E+00    0.00    69.50       3.8   601.8   288.1     0.873     1.224     0.1  101173.7 0.000E+00 0.000E+00
  95     10.8     10.8      0.0      0.0 0.329E+00 0.660E+00 0.102E-01 0.000E+00 0.000E+00    0.00    68.21       3.9   596.1   288.1     0.874     1.224     0.1  101170.2 0.000E+00 0.000E+00
  96     11.1     11.1      0.0      0.0 0.323E+00 0.667E+00 0.999E-02 0.000E+00 0.000E+00    0.00    66.92       4.0   590.3   288.1     0.874     1.224     0.1  101166.6 0.000E+00 0.000E+00
  97     11.4     11.4      0.0      0.0 0.317E+00 0.673E+00 0.980E-02 0.000E+00 0.000E+00    0.00    65.64       4.0   584.6   288.1     0.875     1.224     0.1  101162.9 0.000E+00 0.000E+00
  98     11.7     11.7      0.0      0.0 0.311E+00 0.680E+00 0.961E-02 0.000E+00 0.000E+00    0.00    64.36       4.1   578.9   288.1     0.876     1.224     0.1  101159.0 0.000E+00 0.000E+00
  99     12.1     12.1      0.0      0.0 0.304E+00 0.686E+00 0.941E-02 0.000E+00 0.000E+00    0.00    63.09       4.2   573.2   288.1     0.877     1.224     0.1  101155.0 0.000E+00 0.000E+00
 100     12.4     12.4      0.0      0.0 0.298E+00 0.693E+00 0.922E-02 0.000E+00 0.000E+00    0.00    61.82       4.3   567.5   288.1     0.878     1.224     0.1  101150.8 0.000E+00 0.000E+00
 101     12.8     12.8      0.0      0.0 0.292E+00 0.699E+00 0.903E-02 0.000E+00 0.000E+00    0.00    60.56       4.4   561.8   288.1     0.879     1.224     0.1  101146.5 0.000E+00 0.000E+00
 102     13.2     13.2      0.0      0.0 0.286E+00 0.705E+00 0.884E-02 0.000E+00 0.000E+00    0.00    59.30       4.5   556.2   288.1     0.880     1.223     0.1  101141.9 0.000E+00 0.000E+00
 103     13.6     13.6      0.0      0.0 0.280E+00 0.712E+00 0.865E-02 0.000E+00 0.000E+00    0.00    58.05       4.5   550.5   288.1     0.882     1.223     0.1  101137.2 0.000E+00 0.000E+00
 104     14.0     14.0      0.0      0.0 0.273E+00 0.718E+00 0.846E-02 0.000E+00 0.000E+00    0.00    56.81       4.6   544.9   288.1     0.884     1.223     0.2  101132.3 0.000E+00 0.000E+00
 105     14.4     14.4      0.0      0.0 0.267E+00 0.724E+00 0.827E-02 0.000E+00 0.000E+00    0.00    55.57       4.7   539.3   288.1     0.886     1.223     0.2  101127.2 0.000E+00 0.000E+00
 106     14.8     14.8      0.0      0.0 0.261E+00 0.731E+00 0.808E-02 0.000E+00 0.000E+00    0.00    54.33       4.8   533.7   288.1     0.888     1.223     0.2  101121.9 0.000E+00 0.000E+00
 107     15.3     15.3      0.0      0.0 0.255E+00 0.737E+00 0.789E-02 0.000E+00 0.000E+00    0.00    53.10       5.0   528.1   288.1     0.890     1.223     0.2  101116.3 0.000E+00 0.000E+00
